date_disclosed,project_name,document_type,project_number,project_url,product_line,company_name,country,ifc_country_code,industry,environmental_category,department,status,projected_board_date,ifc_approval_date,ifc_signed_date,ifc_invested_date,ifc_investment_for_risk_managementmillion__usd,ifc_investment_for_guaranteemillion__usd,ifc_investment_for_loanmillion__usd,ifc_investment_for_equitymillion__usd,total_ifc_investment_as_approved_by_boardmillion__usd,wb_country_code,as_of_date
2009-11-18,Dibamba,Summary of Proposed Investment (Disclosure Policy 2006),28529,https://disclosures.ifc.org/project-detail/SPI/28529/dibamba,Loan,DIBAMBA POWER DEVELOPMENT COMPANY,Cameroon,CAM,Infrastructure,B,Regional Industry - INF Africa,Completed,2010-01-28,2010-06-29,2010-06-30,2011-07-19,,,30.730000,,30.730000,CM,2024-09-15
2009-11-05,"Santa Marta International Terminal Company, S.A.",Summary of Proposed Investment (Disclosure Policy 2006),28544,https://disclosures.ifc.org/project-detail/SPI/28544/santa-marta-international-terminal-company-s.a.,Loan,SANTA MARTA INTERNATIONAL TERMINAL COMPANY S A,Colombia,CLM,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,2009-12-20,2010-03-18,2010-04-12,2010-05-20,,,16.750000,,16.750000,CO,2024-09-15
2011-09-26,KPLC,Summary of Proposed Investment (Disclosure Policy 2006),28550,https://disclosures.ifc.org/project-detail/SPI/28550/kplc,Loan,KENYA POWER AND LIGHTING COMPANY LIMITED,Kenya,KEN,Infrastructure,B,Regional Industry - INF Africa,Completed,2011-10-31,2012-03-23,2012-08-08,2013-04-02,,,50.000000,,50.000000,KE,2024-09-15
2010-05-12,Dalkia DH,Summary of Proposed Investment (Disclosure Policy 2006),28606,https://disclosures.ifc.org/project-detail/SPI/28606/dalkia-dh,Equity,Dalkia Eastern Europe,Eastern Europe Subregion,,Infrastructure,B,Gbl Infrastructure & Natural Resources,Completed,2010-06-16,2010-06-24,2010-06-30,2011-06-29,,,,122.930000,122.930000,,2024-09-15
2009-11-17,Azure Power,Summary of Proposed Investment (Disclosure Policy 2006),28631,https://disclosures.ifc.org/project-detail/SPI/28631/azure-power,Equity,AZURE POWER INDIA PRIVATE LIMITED,India,IND,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,2009-12-22,2010-02-02,2010-02-25,2010-03-08,,,,10.000000,10.000000,IN,2024-09-15
2009-11-09,UF Moldova,Summary of Proposed Investment (Disclosure Policy 2006),28636,https://disclosures.ifc.org/project-detail/SPI/28636/uf-moldova,Loan,RED UNION FENOSA S.A.,Moldova,MDA,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,2009-12-11,2009-12-17,2009-12-21,2010-06-28,,,15.000000,,15.000000,MD,2024-09-15
2010-02-26,GAC,Summary of Proposed Investment (Disclosure Policy 2006),28705,https://disclosures.ifc.org/project-detail/SPI/28705/gac,Loan,GAC MARINE HOLDINGS LTD,"Middle East, Pakistan, and Afg Region",,Infrastructure,B,Regional Industry INF MCT,Completed,2010-03-29,2010-05-10,2010-05-23,2010-08-18,,,35.000000,,35.000000,,2024-09-15
2009-10-16,Sedapal,Summary of Proposed Investment (Disclosure Policy 2006),28741,https://disclosures.ifc.org/project-detail/SPI/28741/sedapal,Loan,SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA SA,Peru,PER,Infrastructure,B,Regional Industry - INF LAC,Completed,2010-01-08,2009-12-10,2009-12-15,2009-12-21,,,65.000000,,65.000000,PE,2024-09-15
2010-03-16,TWG1,Summary of Proposed Investment (Disclosure Policy 2006),28806,https://disclosures.ifc.org/project-detail/SPI/28806/twg1,Loan,CITY GROUP CO. K S C,"Middle East, Pakistan, and Afg Region",,Infrastructure,B,Regional Industry INF MCT,Completed,2010-04-16,2010-04-30,2010-05-06,2010-08-25,,,30.000000,,30.000000,,2024-09-15
2010-05-12,Gulftainer Corp,Summary of Proposed Investment (Disclosure Policy 2006),28819,https://disclosures.ifc.org/project-detail/SPI/28819/gulftainer-corp,Loan,GULFTAINER COMPANY LIMITED,"Middle East, Pakistan, and Afg Region",,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,2010-06-15,2010-06-25,2010-09-30,2011-01-31,,,45.000000,,45.000000,,2024-09-15
2010-03-12,Solar Power (Korat 1) Company Limited,Summary of Proposed Investment (Disclosure Policy 2006),28842,https://disclosures.ifc.org/project-detail/SPI/28842/solar-power-(korat-1)-company-limited,Equity,SOLAR POWER COMPANY LIMITED,Thailand,THL,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Pending Signing,2010-04-12,2010-05-13,,,,,,7.110000,7.110000,TH,2024-09-15
2010-01-15,Epure BOT,Summary of Proposed Investment (Disclosure Policy 2006),28859,https://disclosures.ifc.org/project-detail/SPI/28859/epure-bot,Loan,SOUND GLOBAL LTD.,China,CHA,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,2010-02-26,2010-03-23,2010-05-28,2010-08-24,,,50.000000,,50.000000,CN,2024-09-15
2010-03-19,China WindPower,Summary of Proposed Investment (Disclosure Policy 2006),28865,https://disclosures.ifc.org/project-detail/SPI/28865/china-windpower,Loan,Concord New Energy Group Limited,China,CHA,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,2010-04-20,2010-06-29,2010-06-30,2010-12-01,,,45.000000,10.000000,55.000000,CN,2024-09-15
2010-02-22,Mariy El II,Summary of Proposed Investment (Disclosure Policy 2006),28919,https://disclosures.ifc.org/project-detail/SPI/28919/mariy-el-ii,Loan,REPUBLIC OF MARYI EL,Russian Federation,RUS,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,2010-03-29,2010-03-29,2010-03-31,2010-05-14,,,50.509998,,50.509998,RU,2024-09-15
2012-04-20,PIBT,Summary of Proposed Investment (Disclosure Policy 2006),28966,https://disclosures.ifc.org/project-detail/SPI/28966/pibt,Loan,PAKISTAN INTERNATIONAL BULK TERMINAL LIMITED,Pakistan,PAK,Infrastructure,B,Regional Industry INF MCT,Active,2012-05-21,2012-05-31,2012-06-07,2015-07-14,,,26.500000,19.000000,45.500000,PK,2024-09-15
2011-04-04,Paravani,Summary of Proposed Investment (Disclosure Policy 2006),28985,https://disclosures.ifc.org/project-detail/SPI/28985/paravani,Loan,Georgia Urban Energy LLC,Georgia,GEO,Infrastructure,A,Regional Industry INF LAC & EUR,Completed,2011-06-16,2011-06-16,2011-06-22,2011-12-23,,,42.500000,,42.500000,GE,2024-09-15
2010-05-27,Ecom Coffee Central America,Summary of Proposed Investment (Disclosure Policy 2006),29005,https://disclosures.ifc.org/project-detail/SPI/29005/ecom-coffee-central-america,Loan,ECOM Agroindustrial Corp. Limited,Latin America and the Caribbean Region,,Infrastructure,B,"Gbl Ind, Manufact, Agribus &amp; Services",Completed,2010-06-28,2010-06-28,,,,,24.000000,,24.000000,,2024-09-15
2010-06-10,Societe Eiffage de la Nouvelle Autoroute Concedee,Summary of Proposed Investment (Disclosure Policy 2006),29008,https://disclosures.ifc.org/project-detail/SPI/29008/societe-eiffage-de-la-nouvelle-autoroute-concedee,Loan,SOCIETE EIFFAGE DE LA CONCESSION DE L'AUTOROUTE DE L'AVENIR S.A.,Senegal,SEN,Infrastructure,A,Gbl Infrastructure &amp; Natural Resources,Completed,2010-08-10,2010-09-30,2010-11-14,2011-07-13,,,31.719999,,31.719999,SN,2024-09-15
2011-06-08,TSSA New Berth,Summary of Proposed Investment (Disclosure Policy 2006),29015,https://disclosures.ifc.org/project-detail/SPI/29015/tssa-new-berth,Loan,Tecon Salvador S/A.,Brazil,BRA,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,2011-07-15,2011-08-25,2011-09-09,2011-10-28,,,35.000000,,35.000000,BR,2024-09-15
