date_disclosed,project_name,document_type,project_number,project_url,product_line,company_name,country,ifc_country_code,industry,environmental_category,department,status,projected_board_date,ifc_approval_date,ifc_signed_date,ifc_invested_date,ifc_investment_for_risk_managementmillion__usd,ifc_investment_for_guaranteemillion__usd,ifc_investment_for_loanmillion__usd,ifc_investment_for_equitymillion__usd,total_ifc_investment_as_approved_by_boardmillion__usd,wb_country_code,as_of_date
2001-05-11,Peru Rail,Summary of Proposed Investment (Disclosure Policy 2006),10024,https://disclosures.ifc.org/project-detail/SPI/10024/peru-rail,Loan,Ferrocarril Transandino S.A.,Peru,PER,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,2001-06-15,2002-05-07,2002-06-27,2002-11-18,,,9.000000,,9.000000,PE,2024-09-15
2000-04-06,San Antonio International Terminal,Summary of Proposed Investment (Disclosure Policy 2006),10081,https://disclosures.ifc.org/project-detail/SPI/10081/san-antonio-international-terminal,Loan,San Antonio Terminal Internacional S.A.,Chile,,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,,2000-05-12,2000-11-15,2000-12-21,,,35.000000,3.700000,38.700001,CL,2024-09-15
2000-10-17,UF Moldova Distribution Company,Summary of Proposed Investment (Disclosure Policy 2006),10113,https://disclosures.ifc.org/project-detail/SPI/10113/uf-moldova-distribution-company,Loan,RED UNION FENOSA S.A.,Moldova,MDA,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,2000-11-16,2000-12-20,2001-11-19,2002-02-06,,,25.000000,,25.000000,MD,2024-09-15
1999-12-27,C.A. La Electricidad de Caracas,Summary of Proposed Investment (Disclosure Policy 2006),10117,https://disclosures.ifc.org/project-detail/SPI/10117/c.a.-la-electricidad-de-caracas,Loan,C.A. La Electricidad de Caracas,"Venezuela, Republica Bolivariana de",,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,,2000-02-03,2000-07-25,2000-08-09,,,30.000000,,30.000000,VE,2024-09-15
2000-08-22,Tecon Salvador,Summary of Proposed Investment (Disclosure Policy 2006),10201,https://disclosures.ifc.org/project-detail/SPI/10201/tecon-salvador,Loan,Tecon Salvador S/A.,Brazil,BRA,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,2000-09-26,2000-12-01,2001-01-19,2001-04-09,,,3.500000,1.000000,4.500000,BR,2024-09-15
2002-02-22,Pamir Energy Development,Summary of Proposed Investment (Disclosure Policy 2006),10255,https://disclosures.ifc.org/project-detail/SPI/10255/pamir-energy-development,Loan,OAO PAMIR ENERGY COMPANY,Tajikistan,TJK,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Active,2002-03-28,2002-06-27,2002-09-16,2003-07-21,,,4.500000,3.500000,8.000000,TJ,2024-09-15
2001-04-12,Central Aguirre Portuaria - II,Summary of Proposed Investment (Disclosure Policy 2006),10304,https://disclosures.ifc.org/project-detail/SPI/10304/central-aguirre-portuaria---ii,Loan,Central Aguirre Portuaria S.A.,Bolivia,BOL,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,2001-06-15,2001-06-21,2002-02-25,2002-05-24,,,2.500000,,2.500000,BO,2024-09-15
2001-03-02,Mahindra Infrastructure Company,Summary of Proposed Investment (Disclosure Policy 2006),10384,https://disclosures.ifc.org/project-detail/SPI/10384/mahindra-infrastructure-company,Equity,MAHINDRA INFRASTRUCTURE DEVELOPERS LIMITED,India,IND,Infrastructure,B,Regional Industry - INF Asia & Pac,Completed,2001-04-02,2001-04-19,2001-06-25,2003-06-17,,,,10.000000,10.000000,IN,2024-09-15
2001-03-26,Volga-Dnepr Airlines,Summary of Proposed Investment (Disclosure Policy 2006),10465,https://disclosures.ifc.org/project-detail/SPI/10465/volga-dnepr-airlines,Loan,"AVIAKOMPANIYA VOLGA-DNEPR, OOO",Russian Federation,RUS,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,2001-04-30,2001-05-31,2002-06-19,2002-08-05,,,25.000000,,25.000000,RU,2024-09-15
2001-03-29,CAESS/EEO/DEUSEM Distribution Companies,Summary of Proposed Investment (Disclosure Policy 2006),10471,https://disclosures.ifc.org/project-detail/SPI/10471/caess-eeo-deusem-distribution-companies,Loan,"COMPANIA DE ALUMBRADO ELECTRICO DE SAN SALVADOR, S.A. DE C.V.",El Salvador,ESL,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,2001-05-30,2001-06-14,2001-12-17,2001-12-20,,,45.000000,,45.000000,SV,2024-09-15
2001-03-01,AG Concession,Summary of Proposed Investment (Disclosure Policy 2006),10491,https://disclosures.ifc.org/project-detail/SPI/10491/ag-concession,Loan,ANDRADE GUTIERREZ CONCESSOES SA,Brazil,BRA,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,2001-04-05,2001-05-01,2001-11-05,2002-04-23,,,15.000000,15.000000,30.000000,BR,2024-09-15
2001-09-28,San Vicente International Terminal,Summary of Proposed Investment (Disclosure Policy 2006),10678,https://disclosures.ifc.org/project-detail/SPI/10678/san-vicente-international-terminal,Loan,San Vicente Terminal Internacional S.A.,Chile,,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,2001-10-31,2002-03-18,2004-02-05,2004-03-25,,,15.000000,2.000000,17.000000,CL,2024-09-15
2001-05-02,Peak Pacific Investment Company,Summary of Proposed Investment (Disclosure Policy 2006),10774,https://disclosures.ifc.org/project-detail/SPI/10774/peak-pacific-investment-company,Loan,Peak Pacific Investment Company Ltd.,China,CHA,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,2001-06-15,2001-06-13,2001-08-23,2001-09-21,,,25.000000,0.000000,25.000000,CN,2024-09-15
2002-03-01,Suape International Container Terminal,Summary of Proposed Investment (Disclosure Policy 2006),11017,https://disclosures.ifc.org/project-detail/SPI/11017/suape-international-container-terminal,Loan,Tecon Suape S.A.,Brazil,BRA,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,2002-04-20,2002-04-10,2005-12-13,2006-07-25,,,6.000000,,6.000000,BR,2024-09-15
2001-11-19,"ISA Peru, S.A.",Summary of Proposed Investment (Disclosure Policy 2006),11026,https://disclosures.ifc.org/project-detail/SPI/11026/isa-peru-s.a.,Loan,Interconexion Electrica Isa Peru S.A.,Peru,PER,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,2001-12-20,2001-12-21,2002-06-24,2002-09-16,,,18.000000,,18.000000,PE,2024-09-15
2001-10-24,Caucedo Container Port,Summary of Proposed Investment (Disclosure Policy 2006),11109,https://disclosures.ifc.org/project-detail/SPI/11109/caucedo-container-port,Loan,CAUCEDO INVESTMENTS INC,Dominican Republic,DOM,Infrastructure,A,Gbl Infrastructure &amp; Natural Resources,Completed,2001-11-27,2001-12-06,2002-06-20,2002-11-07,,,50.000000,,50.000000,DO,2024-09-15
2005-02-09,CJSC AES Kyivoblenergo & CJSC AES Rivneenergo,Summary of Proposed Investment (Disclosure Policy 2006),11134,https://disclosures.ifc.org/project-detail/SPI/11134/cjsc-aes-kyivoblenergo-&-cjsc-aes-rivneenergo,Guarantee,PJSC AES KYIVOBLENERGO,Ukraine,UKR,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,2005-03-15,2005-04-07,2005-06-21,2005-10-28,,3.000000,30.000000,,33.000000,UA,2024-09-15
2001-12-18,Venezuela River Terminals,Summary of Proposed Investment (Disclosure Policy 2006),11179,https://disclosures.ifc.org/project-detail/SPI/11179/venezuela-river-terminals,Loan,"Global Materials Services Venezuela, C.A. / ACBL Riverside Terminals C.A.","Venezuela, Republica Bolivariana de",,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,2002-01-31,2002-02-15,2002-03-25,2002-06-10,,,8.800000,1.000000,9.800000,VE,2024-09-15
2001-10-09,Eesti Raudtee and Baltic Railway Services,Summary of Proposed Investment (Disclosure Policy 2006),11211,https://disclosures.ifc.org/project-detail/SPI/11211/eesti-raudtee-and-baltic-railway-services,Loan,AS Eesti Raudtee,Estonia,,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,2001-11-08,2001-11-15,2001-12-18,2002-02-22,,,50.000000,,50.000000,EE,2024-09-15
2002-05-08,Manila Water Company,Summary of Proposed Investment (Disclosure Policy 2006),11232,https://disclosures.ifc.org/project-detail/SPI/11232/manila-water-company,Loan,"MANILA WATER COMPANY, INC.",Philippines,PHL,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,2002-06-10,2002-08-19,2003-03-28,2004-08-09,,,50.000000,,50.000000,PH,2024-09-15
2002-05-09,Sangster International Airport Montego Bay,Summary of Proposed Investment (Disclosure Policy 2006),11353,https://disclosures.ifc.org/project-detail/SPI/11353/sangster-international-airport-montego-bay,Loan,MBJ Airports Limited,Jamaica,JAM,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,2002-06-14,2002-06-25,2002-06-28,2003-04-11,,,20.000000,,20.000000,JM,2024-09-15
2002-08-29,Jamaica Pubic Service Co.,Summary of Proposed Investment (Disclosure Policy 2006),11367,https://disclosures.ifc.org/project-detail/SPI/11367/jamaica-pubic-service-co.,Loan,"Jamaica Public Service Company, Limited",Jamaica,JAM,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,2002-10-31,2003-03-04,2003-05-16,2003-05-23,,,45.000000,,45.000000,JM,2024-09-15
2002-04-26,UABL River Barges,Summary of Proposed Investment (Disclosure Policy 2006),11383,https://disclosures.ifc.org/project-detail/SPI/11383/uabl-river-barges,Loan,UABL PARAGUAY S.A.,Latin America and the Caribbean Region,,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,2002-05-30,2002-06-25,2002-12-17,2003-03-21,,,20.000000,5.000000,25.000000,,2024-09-15
2002-05-29,UP Offshore (Bahamas) Limited,Summary of Proposed Investment (Disclosure Policy 2006),11415,https://disclosures.ifc.org/project-detail/SPI/11415/up-offshore-(bahamas)-limited,Loan,UP Offshore Apoio Marítimo Ltda.,Brazil,BRA,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,2002-06-30,2002-06-28,2002-12-03,2004-01-23,,,16.799999,10.000000,26.799999,BR,2024-09-15
2002-05-13,El Canada Hydroelectric Project,Summary of Proposed Investment (Disclosure Policy 2006),11444,https://disclosures.ifc.org/project-detail/SPI/11444/el-canada-hydroelectric-project,Loan,Generadora de Occidente Limitada,Guatemala,GUA,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,2002-06-12,2002-06-26,2002-12-12,2003-01-28,,,15.000000,,15.000000,GT,2024-09-15
2003-04-14,Thames Water Chile,Summary of Proposed Investment (Disclosure Policy 2006),11453,https://disclosures.ifc.org/project-detail/SPI/11453/thames-water-chile,Risk Management,Aguas Nuevo Sur Maule S.A.,Chile,,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,2003-05-16,2003-05-28,2003-12-10,2004-01-15,7.000000,,35.000000,,42.000000,CL,2024-09-15
2002-04-10,Macae,Summary of Proposed Investment (Disclosure Policy 2006),11495,https://disclosures.ifc.org/project-detail/SPI/11495/macae,Loan,Termomacae Ltda,Brazil,BRA,Infrastructure,A,Regional Industry INF LAC & EUR,Completed,2002-06-20,2002-06-20,2002-12-03,2003-03-05,,,75.000000,,75.000000,BR,2024-09-15
2002-05-24,Triple A,Summary of Proposed Investment (Disclosure Policy 2006),11519,https://disclosures.ifc.org/project-detail/SPI/11519/triple-a,Guarantee,SOCIEDAD DE ACUEDUCTO ALCANTARILLADO Y ASEO DE BARRANQUILLA S A E S P,Colombia,CLM,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,2002-06-27,2002-11-20,2003-05-07,,,24.000000,,,24.000000,CO,2024-09-15
2002-09-30,CPFL Energia,Summary of Proposed Investment (Disclosure Policy 2006),11575,https://disclosures.ifc.org/project-detail/SPI/11575/cpfl-energia,Loan,CPFL Energia S/A.,Brazil,BRA,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,2002-11-21,2003-05-15,2003-06-25,2004-02-27,,,40.000000,0.000000,40.000000,BR,2024-09-15
2006-03-24,AES Sonel,Summary of Proposed Investment (Disclosure Policy 2006),11579,https://disclosures.ifc.org/project-detail/SPI/11579/aes-sonel,Loan,ENEO CAMEROON SA,Cameroon,CAM,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,2006-04-27,2006-05-18,2006-06-27,2007-02-15,,,85.209999,,85.209999,CM,2024-09-15
2002-08-08,"HQI Transelec Chile, S.A.",Summary of Proposed Investment (Disclosure Policy 2006),11592,https://disclosures.ifc.org/project-detail/SPI/11592/hqi-transelec-chile-s.a.,Loan,Transelec S.A.,Chile,,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,2002-09-12,2003-01-16,2003-04-25,2003-04-30,,,60.000000,0.000000,60.000000,CL,2024-09-15
2003-05-07,TermoFortaleza,Summary of Proposed Investment (Disclosure Policy 2006),11600,https://disclosures.ifc.org/project-detail/SPI/11600/termofortaleza,Loan,CGTF Central Geradora Termelétrica Fortaleza S/A.,Brazil,BRA,Infrastructure,A,Regional Industry INF LAC & EUR,Completed,2003-05-29,2003-07-17,2006-02-27,2006-04-11,,,62.500000,,62.500000,BR,2024-09-15
2003-08-11,AD Hydro Power Limited,Summary of Proposed Investment (Disclosure Policy 2006),11632,https://disclosures.ifc.org/project-detail/SPI/11632/ad-hydro-power-limited,Loan,AD HYDRO POWER LIMITED,India,IND,Infrastructure,A,Gbl Infrastructure &amp; Natural Resources,Completed,2003-10-31,2004-10-12,2005-01-25,2007-03-13,,,40.000000,7.000000,47.000000,IN,2024-09-15
2002-09-26,Rio Bravo III,Summary of Proposed Investment (Disclosure Policy 2006),11637,https://disclosures.ifc.org/project-detail/SPI/11637/rio-bravo-iii,Risk Management,Central Lomas de Real S.A. de C.V.,Mexico,MXC,Infrastructure,A,Regional Industry INF LAC & EUR,Completed,2002-12-04,2003-06-12,2003-07-23,2004-06-22,2.000000,,70.000000,,72.000000,MX,2024-09-15
2002-10-11,Pakistan International Container Terminal,Summary of Proposed Investment (Disclosure Policy 2006),11646,https://disclosures.ifc.org/project-detail/SPI/11646/pakistan-international-container-terminal,Loan,PAKISTAN INTERNATIONAL AIRLINES CORPORATION,Pakistan,PAK,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,2002-11-19,2002-11-20,2003-05-17,2003-12-16,,,9.250000,,9.250000,PK,2024-09-15
2002-09-26,Rio Bravo IV,Summary of Proposed Investment (Disclosure Policy 2006),11662,https://disclosures.ifc.org/project-detail/SPI/11662/rio-bravo-iv,Risk Management,Central Valle Hermoso S.A. de C.V.,Mexico,MXC,Infrastructure,A,Regional Industry INF LAC & EUR,Completed,2002-12-04,2003-06-12,2003-07-23,2004-06-22,2.000000,,70.000000,,72.000000,MX,2024-09-15
2002-11-07,Transportadora de Electricidad S.A.,Summary of Proposed Investment (Disclosure Policy 2006),11674,https://disclosures.ifc.org/project-detail/SPI/11674/transportadora-de-electricidad-s.a.,Loan,Transportadora de Electricidad S.A.,Bolivia,BOL,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,2003-01-15,2003-03-27,2003-05-30,2003-06-18,,,30.000000,,30.000000,BO,2024-09-15
2003-12-17,Inversionistas en Autotransportes Mexicanos S.A. de C.V.,Summary of Proposed Investment (Disclosure Policy 2006),11720,https://disclosures.ifc.org/project-detail/SPI/11720/inversionistas-en-autotransportes-mexicanos-s.a.-de-c.v.,Loan,"Desarrollo Terrestre Mexicano, S.A. de C.V.",Mexico,MXC,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,2003-01-19,2004-03-22,2004-05-13,2005-02-11,,,37.000000,,37.000000,MX,2024-09-15
2002-11-12,Aguas de Panama S.A.,Summary of Proposed Investment (Disclosure Policy 2006),11740,https://disclosures.ifc.org/project-detail/SPI/11740/aguas-de-panama-s.a.,Loan,Aguas de Panama S.A.,Panama,PAN,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,2002-12-13,2003-02-20,2003-04-11,2003-10-17,,,6.000000,,6.000000,PA,2024-09-15
2003-04-15,Norvial S.A.,Summary of Proposed Investment (Disclosure Policy 2006),20050,https://disclosures.ifc.org/project-detail/SPI/20050/norvial-s.a.,Loan,NORVIAL SA,Peru,PER,Infrastructure,A,Regional Industry INF LAC & EUR,Completed,2003-05-22,2003-05-22,2003-06-20,2005-11-04,,,18.000000,,18.000000,PE,2024-09-15
2004-01-13,Sokhna Port Development Company,Summary of Proposed Investment (Disclosure Policy 2006),20055,https://disclosures.ifc.org/project-detail/SPI/20055/sokhna-port-development-company,Loan,DP WORLD SOKHNA,"Egypt, Arab Republic of",EGT,Infrastructure,B,Regional Industry - INF ME & Africa,Completed,2004-02-19,2004-03-04,2004-04-15,2005-04-04,,,20.000000,,20.000000,EG,2024-09-15
2002-12-20,Kenya Airways,Summary of Proposed Investment (Disclosure Policy 2006),20280,https://disclosures.ifc.org/project-detail/SPI/20280/kenya-airways,Loan,KENYA AIRWAYS PLC,Kenya,KEN,Infrastructure,C,Regional Industry - INF Africa,Completed,2003-01-20,2003-02-05,2003-03-13,2003-10-31,,,15.000000,,15.000000,KE,2024-09-15
2003-07-02,Kulon,Summary of Proposed Investment (Disclosure Policy 2006),20337,https://disclosures.ifc.org/project-detail/SPI/20337/kulon,Loan,ZAO KULON YUGROS,Russian Federation,RUS,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,2003-08-21,2003-12-14,2004-04-01,2004-05-24,,,7.500000,,7.500000,RU,2024-09-15
2003-06-02,Tala Transmision,Summary of Proposed Investment (Disclosure Policy 2006),20350,https://disclosures.ifc.org/project-detail/SPI/20350/tala-transmision,Loan,POWERLINKS TRANSMISSION LIMITED,India,IND,Infrastructure,B,Regional Industry - INF Asia & Pac,Completed,2003-07-31,2003-10-09,2004-01-09,2004-05-20,,,75.000000,,75.000000,IN,2024-09-15
2004-12-03,Basic Energy,Summary of Proposed Investment (Disclosure Policy 2006),20384,https://disclosures.ifc.org/project-detail/SPI/20384/basic-energy,Guarantee,"Consorcio Energetico Punta Cana Macao, S.A.",Latin America and the Caribbean Region,,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,2005-01-15,2005-05-24,2005-06-28,2006-05-12,,15.000000,10.000000,,25.000000,,2024-09-15
2004-12-22,La Higuera,Summary of Proposed Investment (Disclosure Policy 2006),21315,https://disclosures.ifc.org/project-detail/SPI/21315/la-higuera,Loan,Hidroelectrica La Higuera S.A.,Chile,,Infrastructure,A,Regional Industry INF LAC & EUR,Completed,2005-03-03,2005-03-30,2005-11-02,2007-05-25,,,45.000000,0.000000,45.000000,CL,2024-09-15
2004-03-12,Modern Asia,Summary of Proposed Investment (Disclosure Policy 2006),21360,https://disclosures.ifc.org/project-detail/SPI/21360/modern-asia,Loan,Modern Asia Environmental Holdings,East Asia and Pacific Region,EAP,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,2004-04-19,2004-04-23,2004-06-25,2005-09-13,,,15.000000,,15.000000,EAP,2024-09-15
2003-10-29,Cambodia Airports,Summary of Proposed Investment (Disclosure Policy 2006),21363,https://disclosures.ifc.org/project-detail/SPI/21363/cambodia-airports,Loan,SOCIETE CONCESSIONNAIRE DE L'AEROPORT,Cambodia,KAM,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,2003-12-01,2004-01-09,2004-06-16,2005-01-28,,,10.000000,,10.000000,KH,2024-09-15
2004-03-03,Volga Shipping Company,Summary of Proposed Investment (Disclosure Policy 2006),21396,https://disclosures.ifc.org/project-detail/SPI/21396/volga-shipping-company,Loan,VOLGA SHIPPING JSC,Russian Federation,RUS,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,2004-04-29,2004-04-29,2005-05-23,2005-09-16,,,27.000000,,27.000000,RU,2024-09-15
2003-11-14,Severstaltrans,Summary of Proposed Investment (Disclosure Policy 2006),21422,https://disclosures.ifc.org/project-detail/SPI/21422/severstaltrans,Loan,"SEVTEKHNOTRANS, OOO",Russian Federation,RUS,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,2003-12-22,2004-01-28,2004-03-24,2004-07-07,,,40.000000,,40.000000,RU,2024-09-15
2004-03-18,Kusadasi Cruise Ship Terminal,Summary of Proposed Investment (Disclosure Policy 2006),21495,https://disclosures.ifc.org/project-detail/SPI/21495/kusadasi-cruise-ship-terminal,Loan,Ege Liman Isletmeleri A.S.,Turkiye,,Infrastructure,B,Regional Industry INF MCT,Completed,2004-04-30,2004-05-10,2004-06-22,2004-11-04,,,10.000000,,10.000000,TR,2024-09-15
2003-12-16,Russkiy Mir,Summary of Proposed Investment (Disclosure Policy 2006),21506,https://disclosures.ifc.org/project-detail/SPI/21506/russkiy-mir,Loan,JSC SFAT,Russian Federation,RUS,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,2003-01-22,2004-04-07,2004-04-29,2004-06-18,,,15.000000,,15.000000,RU,2024-09-15
2004-04-16,China Green,Summary of Proposed Investment (Disclosure Policy 2006),21576,https://disclosures.ifc.org/project-detail/SPI/21576/china-green,Loan,Zheneng Jinjiang,China,CHA,Infrastructure,B,Regional Industry - INF Asia & Pac,Completed,2004-05-24,2004-06-09,2004-06-09,2005-02-23,,,30.000000,,30.000000,CN,2024-09-15
2003-12-17,Manzanillo Container Terminal,Summary of Proposed Investment (Disclosure Policy 2006),21805,https://disclosures.ifc.org/project-detail/SPI/21805/manzanillo-container-terminal,Loan,"SSA México Holdings, S.A. de C.V.",Mexico,MXC,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,2004-01-23,2004-01-28,2004-02-13,2004-02-27,,,45.000000,,45.000000,MX,2024-09-15
2004-05-03,TRG EXPANSION,Summary of Proposed Investment (Disclosure Policy 2006),21887,https://disclosures.ifc.org/project-detail/SPI/21887/trg-expansion,Loan,Tecon Rio Grande S/A.,Brazil,BRA,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,2004-06-03,2004-06-04,2004-06-25,2005-09-16,,,8.100000,,8.100000,BR,2024-09-15
2005-04-06,Kounoune Power S.A.,Summary of Proposed Investment (Disclosure Policy 2006),22410,https://disclosures.ifc.org/project-detail/SPI/22410/kounoune-power-s.a.,Loan,KOUNOUNE POWER,Senegal,SEN,Infrastructure,B,Regional Industry - INF Africa,Completed,2005-05-12,2005-05-17,2005-12-07,2006-12-22,,,19.900000,,19.900000,SN,2024-09-15
2005-08-16,Guangzhou Development Industry Holdings,Summary of Proposed Investment (Disclosure Policy 2006),22418,https://disclosures.ifc.org/project-detail/SPI/22418/guangzhou-development-industry-holdings,Loan,GUANGZHOU DEVELOPMENT GROUP INCORPORATED,China,CHA,Infrastructure,B,Regional Industry - INF Asia & Pac,Completed,2005-09-15,2005-09-15,2005-10-13,2005-10-20,,,50.090000,,50.090000,CN,2024-09-15
2004-04-12,MS Shipping,Summary of Proposed Investment (Disclosure Policy 2006),22547,https://disclosures.ifc.org/project-detail/SPI/22547/ms-shipping,Loan,"Minsheng Shipping Co., Ltd.",China,CHA,Infrastructure,B,Regional Industry - INF Asia & Pac,Completed,2003-05-18,2004-10-14,2005-06-22,2006-02-21,,,15.750000,5.000000,20.750000,CN,2024-09-15
2005-11-18,Brunswick Rail Leasing,Summary of Proposed Investment (Disclosure Policy 2006),22552,https://disclosures.ifc.org/project-detail/SPI/22552/brunswick-rail-leasing,Loan,Brunswick Capital,Russian Federation,RUS,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,2005-12-19,2005-12-29,2005-12-30,2006-03-31,,,37.500000,7.500000,45.000000,RU,2024-09-15
2004-03-30,MWC II,Summary of Proposed Investment (Disclosure Policy 2006),22621,https://disclosures.ifc.org/project-detail/SPI/22621/mwc-ii,Loan,"MANILA WATER COMPANY, INC.",Philippines,PHL,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,2004-05-01,2004-05-10,2004-05-31,2004-08-02,,,30.000000,15.000000,45.000000,PH,2024-09-15
2004-03-03,North-Western Shipping,Summary of Proposed Investment (Disclosure Policy 2006),22768,https://disclosures.ifc.org/project-detail/SPI/22768/north-western-shipping,Loan,NW SHIP-REPAIR COMPANY LIMITED,Russian Federation,RUS,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,2004-04-29,2004-04-29,2005-05-23,2006-06-02,,,23.000000,,23.000000,RU,2024-09-15
2004-08-16,"Aeropuertos Dominicanos Siglo XXI, S.A.",Summary of Proposed Investment (Disclosure Policy 2006),22831,https://disclosures.ifc.org/project-detail/SPI/22831/aeropuertos-dominicanos-siglo-xxi-s.a.,Loan,Aeropuertos Dominicanos Siglo XXI SA,Dominican Republic,DOM,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,2004-09-23,2004-10-28,2004-11-16,2005-02-24,,,45.000000,,45.000000,DO,2024-09-15
2004-02-20,City of Johannesburg Financing,Summary of Proposed Investment (Disclosure Policy 2006),22843,https://disclosures.ifc.org/project-detail/SPI/22843/city-of-johannesburg-financing,Guarantee,CITY OF JOHANNESBURG,South Africa,SOU,Infrastructure,FI,Regional Industry - INF ME & Africa,Completed,2004-03-24,2004-03-25,2004-06-24,,,50.000000,,,50.000000,ZA,2024-09-15
2005-02-14,Eurosibtrans,Summary of Proposed Investment (Disclosure Policy 2006),23270,https://disclosures.ifc.org/project-detail/SPI/23270/eurosibtrans,Loan,Eurosib Group,Russian Federation,RUS,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,2005-03-16,2005-03-31,2005-06-29,2005-07-20,,,30.000000,,30.000000,RU,2024-09-15
2004-11-12,PICT II,Summary of Proposed Investment (Disclosure Policy 2006),23356,https://disclosures.ifc.org/project-detail/SPI/23356/pict-ii,Loan,Premier Mercantile Services Limited,Pakistan,PAK,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,2004-12-15,2004-12-23,2005-03-29,2006-05-10,,,6.000000,,6.000000,PK,2024-09-15
2005-04-18,Jamaica Energy Partners Expansion,Summary of Proposed Investment (Disclosure Policy 2006),23524,https://disclosures.ifc.org/project-detail/SPI/23524/jamaica-energy-partners-expansion,Loan,Jamaica Energy Partners Limited,Jamaica,JAM,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,2005-05-20,2005-06-10,2005-06-29,2006-01-11,,,28.000000,,28.000000,JM,2024-09-15
2005-06-16,Dodson-Lindblom Hydropower Private Limited,Summary of Proposed Investment (Disclosure Policy 2006),23833,https://disclosures.ifc.org/project-detail/SPI/23833/dodson-lindblom-hydropower-private-limited,Loan,IHDC DODSON LINDBLOM HYDRO POWER PVT LTD,India,IND,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,2005-07-25,2005-12-09,2005-12-23,2006-12-15,,,17.000000,,17.000000,IN,2024-09-15
2005-02-28,Russkiy Mir II,Summary of Proposed Investment (Disclosure Policy 2006),23870,https://disclosures.ifc.org/project-detail/SPI/23870/russkiy-mir-ii,Loan,JSC SFAT,Russian Federation,RUS,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,2005-04-01,2005-04-29,2005-05-27,2005-11-10,,,45.000000,,45.000000,RU,2024-09-15
2005-03-15,Taca PDP Financing,Summary of Proposed Investment (Disclosure Policy 2006),23882,https://disclosures.ifc.org/project-detail/SPI/23882/taca-pdp-financing,Loan,Atlantic Aircraft Holding Ltd,El Salvador,ESL,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,2005-04-18,2005-05-11,2005-06-03,2005-07-21,,,30.000000,,30.000000,SV,2024-09-15
